%	% |
%가	% 가 |
0	0 |
0%인	0 % 인 |
00	0 0 |
000	0 0 0 |
000원	0 0 0 원 |
000원에	0 0 0 원 에 |
000원이	0 0 0 원 이 |
000원이나	0 0 0 원 이 나 |
000원이에요	0 0 0 원 이 에 요 |
007	0 0 7 |
007영화	0 0 7 영 화 |
0270이	0 2 7 0 이 |
0금리라고	0 금 리 라 고 |
0에	0 에 |
0칼로리라던데	0 칼 로 리 라 던 데 |
0퍼센트로	0 퍼 센 트 로 |
1	1 |
1%	1 % |
1%대니까	1 % 대 니 까 |
10	1 0 |
100	1 0 0 |
100%	1 0 0 % |
10000000원	1 0 0 0 0 0 0 0 원 |
10000000원쯤	1 0 0 0 0 0 0 0 원 쯤 |
1000000원	1 0 0 0 0 0 0 원 |
1000000원이에요	1 0 0 0 0 0 0 원 이 에 요 |
100000원	1 0 0 0 0 0 원 |
100000원이	1 0 0 0 0 0 원 이 |
100000원이라도	1 0 0 0 0 0 원 이 라 도 |
10000건이	1 0 0 0 0 건 이 |
10000걸음이나	1 0 0 0 0 걸 음 이 나 |
10000원	1 0 0 0 0 원 |
10000원만	1 0 0 0 0 원 만 |
10000원밖에	1 0 0 0 0 원 밖 에 |
10000원은	1 0 0 0 0 원 은 |
1000년고도	1 0 0 0 년 고 도 |
1000년을	1 0 0 0 년 을 |
1000만	1 0 0 0 만 |
1000원	1 0 0 0 원 |
1000원인가요	1 0 0 0 원 인 가 요 |
1000편이던	1 0 0 0 편 이 던 |
100KG	1 0 0 K G |
100M	1 0 0 M |
100가지보다	1 0 0 가 지 보 다 |
100개	1 0 0 개 |
100개나	1 0 0 개 나 |
100개는	1 0 0 개 는 |
100개를	1 0 0 개 를 |
100날	1 0 0 날 |
100년	1 0 0 년 |
100달러	1 0 0 달 러 |
100달러이니	1 0 0 달 러 이 니 |
100대라도	1 0 0 대 라 도 |
100마리를	1 0 0 마 리 를 |
100마일	1 0 0 마 일 |
100만	1 0 0 만 |
100만원	1 0 0 만 원 |
100만원을	1 0 0 만 원 을 |
100만원이나	1 0 0 만 원 이 나 |
100만원이라고	1 0 0 만 원 이 라 고 |
100문장을	1 0 0 문 장 을 |
100번	1 0 0 번 |
100번은	1 0 0 번 은 |
100부터	1 0 0 부 터 |
100살까지	1 0 0 살 까 지 |
100살이	1 0 0 살 이 |
100세	1 0 0 세 |
100세까지	1 0 0 세 까 지 |
